ASV_ID	FRA022001CA	FRA022001CAbis	FRA022002BB	FRA022002BBbis	FRA022003GA	FRA022003GAbis	FRA022004MC	FRA022004MCbis	FRA022005KF	FRA022005KFbis	FRA022006TS	FRA022006TSbis	FRA022007LP	FRA022007LPbis	FRA022008DM	FRA022008DMbis	FRA022010KI	FRA022010KIbis	FRA022011RB	FRA022011RBbis	FRA022012GF	FRA022012GFbis	FRA022013ZV	FRA022013ZVbis	FRA022014RD	FRA022014RDbis	FRA022015BF	FRA022015BFbis	FRA022016AS	FRA022016ASbis	FRA022018LS	FRA022018LSbis	FRA022019RX	FRA022019RXbis	FRA022020BF	FRA022020BFbis	FRA022021MP	FRA022021MPbis	FRA022022RH	FRA022022RHbis	FRA022023DC	FRA022025BE	FRA022025BEbis	FRA022026CN	FRA022026CNbis	FRA022027LP	FRA022027LPbis	FRA022028BM	FRA022028BMbis	FRA074002DB	FRA074002DBbis	FRA084001JL	FRA084001JLbis	FRA084005RC	FRA084005RCbis	FRA094001CA	FRA094001CAbis	FRA094002BD	FRA094002BDbis	FRA094003DR	FRA094003DRbis	FRA094004TD	FRA094004TDbis	FRA106001LH	FRA106001LHbis	FRA106003ER	FRA106003ERbis	FRA106004CA	FRA106004CAbis	FRA123001AI	FRA123001AIbis	FRA189001NM	FRA189001NMbis	FRA189002AL	FRA189002ALbis	FRA189004JL	FRA189004JLbis	FRA189005JP	FRA189005JPbis	FRA189010CM	FRA189010CMbis	FRA256001DJ	FRA256001DJbis	taxonomy	Feature ID	Taxon
d__Bacteria| p__Proteobacteria| c__Gammaproteobacteria| o__Enterobacterales| f__Enterobacteriaceae| g__Escherichia-Shigella|7a5478452f84fc37376a3408bc310451	0.0	4.0	78.0	16.0	8024.0	178.0	334.0	192.0	0.0	15.0	181.0	0.0	35.0	6541.0	7262.0	2556.0	10.0	15.0	9.0	15.0	22.0	0.0	192.0	6.0	2697.0	8.0	212.0	10.0	9214.0	1439.0	13.0	0.0	482.0	9692.0	4797.0	4474.0	0.0	0.0	191.0	0.0	0.0	1316.0	101.0	778.0	15.0	184.0	20.0	222.0	227.0	0.0	0.0	0.0	573.0	5.0	0.0	80.0	518.0	6.0	43.0	38.0	36.0	0.0	184.0	13476.0	0.0	27.0	8.0	142.0	24.0	271.0	1348.0	0.0	0.0	0.0	0.0	0.0	21.0	178.0	397.0	3825.0	0.0	0.0	0.0		7a5478452f84fc37376a3408bc310451	d__Bacteria| p__Proteobacteria| c__Gammaproteobacteria| o__Enterobacterales| f__Enterobacteriaceae| g__Escherichia-Shigella
d__Bacteria| p__Bacteroidota| c__Bacteroidia| o__Bacteroidales| f__Bacteroidaceae| g__Bacteroides| s__Bacteroides_dorei|9b4f3f7e600916aa527ba3bd132a4ca6	3320.0	1463.0	2299.0	746.0	135.0	117.0	4398.0	5919.0	5864.0	1327.0	93.0	1564.0	0.0	0.0	0.0	0.0	0.0	0.0	441.0	79.0	256.0	0.0	900.0	113.0	0.0	58.0	3012.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	3382.0	11660.0	0.0	86.0	0.0	59.0	0.0	194.0	123.0	0.0	0.0	0.0	0.0	356.0	409.0	3071.0	774.0	3.0	3937.0	0.0	0.0	1275.0	3924.0	1916.0	401.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	1161.0	3206.0	0.0	0.0	2771.0	2513.0	0.0	0.0	0.0	131.0	157.0	0.0	0.0	0.0	1182.0	775.0		9b4f3f7e600916aa527ba3bd132a4ca6	d__Bacteria| p__Bacteroidota| c__Bacteroidia| o__Bacteroidales| f__Bacteroidaceae| g__Bacteroides| s__Bacteroides_dorei
d__Bacteria| p__Actinobacteriota| c__Actinobacteria| o__Bifidobacteriales| f__Bifidobacteriaceae| g__Bifidobacterium|ee860c7177c6aa5a6e337da1b1960a29	811.0	0.0	0.0	0.0	0.0	534.0	0.0	0.0	0.0	0.0	576.0	360.0	21.0	0.0	2244.0	1769.0	2206.0	0.0	376.0	454.0	96.0	112.0	0.0	209.0	0.0	0.0	0.0	249.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	11794.0	0.0	60.0	784.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	15505.0	1566.0	0.0	0.0	0.0	0.0	14906.0	8759.0	0.0	0.0	2436.0	331.0	0.0	0.0	3997.0	3331.0	53.0	75.0	0.0	0.0	0.0	0.0	61.0	199.0	0.0	0.0	81.0	0.0		ee860c7177c6aa5a6e337da1b1960a29	d__Bacteria| p__Actinobacteriota| c__Actinobacteria| o__Bifidobacteriales| f__Bifidobacteriaceae| g__Bifidobacterium
d__Bacteria| p__Firmicutes| c__Clostridia| o__Lachnospirales| f__Lachnospiraceae| g__Blautia|7f03b2c8f50e54d015ddf07fa90c95fd	1034.0	1138.0	1130.0	231.0	0.0	797.0	836.0	592.0	3296.0	3723.0	362.0	2282.0	1394.0	0.0	0.0	346.0	1717.0	927.0	544.0	290.0	593.0	741.0	578.0	623.0	0.0	682.0	0.0	0.0	25.0	99.0	137.0	510.0	0.0	464.0	247.0	151.0	901.0	2168.0	67.0	1654.0	170.0	1785.0	1516.0	1036.0	40.0	2803.0	488.0	1460.0	1467.0	1054.0	1190.0	0.0	1482.0	939.0	1906.0	0.0	0.0	1799.0	1851.0	1919.0	1732.0	735.0	1629.0	0.0	7.0	415.0	167.0	152.0	3287.0	420.0	833.0	571.0	507.0	2313.0	1641.0	0.0	305.0	720.0	545.0	805.0	1525.0	1067.0	730.0		7f03b2c8f50e54d015ddf07fa90c95fd	d__Bacteria| p__Firmicutes| c__Clostridia| o__Lachnospirales| f__Lachnospiraceae| g__Blautia
d__Bacteria| p__Bacteroidota| c__Bacteroidia| o__Bacteroidales| f__Bacteroidaceae| g__Bacteroides| s__Bacteroides_vulgatus|159871098ca16ec6d19aea367ffee488	0.0	0.0	14949.0	6274.0	204.0	291.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	21.0	1749.0	1844.0	31.0	0.0	284.0	149.0	108.0	54.0	146.0	453.0	2.0	0.0	3188.0	2400.0	499.0	2511.0	0.0	306.0	0.0	0.0	376.0	310.0	438.0	55.0	0.0	190.0	0.0	2379.0	43.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	128.0	637.0	0.0	0.0	7.0	0.0	253.0	487.0	461.0	253.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1822.0	1845.0	0.0	6053.0	384.0	241.0	464.0	162.0	154.0	273.0		159871098ca16ec6d19aea367ffee488	d__Bacteria| p__Bacteroidota| c__Bacteroidia| o__Bacteroidales| f__Bacteroidaceae| g__Bacteroides| s__Bacteroides_vulgatus
d__Bacteria| p__Bacteroidota| c__Bacteroidia| o__Bacteroidales| f__Bacteroidaceae| g__Bacteroides| s__Bacteroides_vulgatus|82a938698291b68cecfcb9d46457229b	0.0	0.0	3262.0	1307.0	122.0	222.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0	85.0	118.0	47.0	0.0	0.0	0.0	2311.0	505.0	0.0	0.0	556.0	1576.0	0.0	177.0	0.0	0.0	0.0	0.0	309.0	30.0	360.0	2221.0	367.0	1269.0	0.0	0.0	0.0	0.0	67.0	425.0	332.0	0.0	0.0	107.0	286.0	3253.0	10025.0	3762.0	1505.0	2974.0	2516.0	0.0	0.0	0.0	0.0	818.0	67.0	0.0	0.0	0.0	356.0	0.0	0.0	354.0	508.0	0.0	2060.0	0.0	0.0	2781.0	474.0	695.0	729.0		82a938698291b68cecfcb9d46457229b	d__Bacteria| p__Bacteroidota| c__Bacteroidia| o__Bacteroidales| f__Bacteroidaceae| g__Bacteroides| s__Bacteroides_vulgatus
d__Bacteria| p__Firmicutes| c__Bacilli| o__Lactobacillales| f__Streptococcaceae| g__Streptococcus|278f28a185593f1ddf4e891f1ef6d1ac	67.0	24.0	300.0	13.0	138.0	5743.0	49.0	27.0	1413.0	652.0	690.0	203.0	16.0	136.0	152.0	1226.0	0.0	0.0	0.0	0.0	627.0	0.0	0.0	20.0	0.0	0.0	99.0	292.0	0.0	0.0	0.0	35.0	0.0	766.0	625.0	1077.0	0.0	0.0	6.0	6.0	0.0	1204.0	0.0	361.0	0.0	0.0	45.0	0.0	61.0	34.0	20.0	0.0	50.0	137.0	847.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	1041.0	20747.0	430.0	214.0	29.0	169.0	70.0	113.0	60.0	0.0	0.0	0.0	0.0	603.0	2999.0	1835.0	90.0	0.0	18.0	134.0		278f28a185593f1ddf4e891f1ef6d1ac	d__Bacteria| p__Firmicutes| c__Bacilli| o__Lactobacillales| f__Streptococcaceae| g__Streptococcus
d__Bacteria| p__Firmicutes| c__Clostridia| o__Lachnospirales| f__Lachnospiraceae| g__Agathobacter| s__[Eubacterium]_rectale|fe8ead2946324fd23605a7e82c52261a	0.0	0.0	153.0	811.0	0.0	0.0	0.0	0.0	451.0	1067.0	0.0	0.0	1910.0	0.0	390.0	546.0	586.0	540.0	902.0	1386.0	61.0	0.0	750.0	2052.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	3511.0	0.0	0.0	111.0	271.0	395.0	918.0	0.0	0.0	878.0	0.0	3268.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	720.0	0.0	0.0	0.0	0.0	4091.0	554.0	0.0	0.0	0.0	0.0	0.0	0.0	3435.0	294.0	0.0	12.0	83.0	1944.0	2928.0	790.0	0.0	0.0	0.0	0.0	161.0	1399.0	197.0	2980.0	2769.0	894.0		fe8ead2946324fd23605a7e82c52261a	d__Bacteria| p__Firmicutes| c__Clostridia| o__Lachnospirales| f__Lachnospiraceae| g__Agathobacter| s__[Eubacterium]_rectale
d__Bacteria| p__Firmicutes| c__Clostridia| o__Oscillospirales| f__Ruminococcaceae| g__Faecalibacterium|689d03e9572c681bb9e11ce09f36e4bb	0.0	184.0	0.0	0.0	0.0	957.0	1298.0	91.0	0.0	0.0	1307.0	2285.0	741.0	0.0	0.0	200.0	59.0	1508.0	766.0	365.0	0.0	34.0	0.0	96.0	735.0	503.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	1418.0	114.0	191.0	41.0	198.0	53.0	696.0	454.0	0.0	0.0	0.0	224.0	2994.0	109.0	107.0	1704.0	596.0	5872.0	0.0	87.0	1743.0	341.0	0.0	0.0	1028.0	0.0	2154.0	781.0	283.0	351.0	0.0	0.0	1286.0	27.0	0.0	0.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0	678.0	3232.0	147.0	675.0	0.0	0.0		689d03e9572c681bb9e11ce09f36e4bb	d__Bacteria| p__Firmicutes| c__Clostridia| o__Oscillospirales| f__Ruminococcaceae| g__Faecalibacterium
d__Bacteria| p__Firmicutes| c__Clostridia| o__Oscillospirales| f__Ruminococcaceae| g__Faecalibacterium|b9072242edca7525f17dfaf07abbb08e	516.0	93.0	0.0	0.0	0.0	89.0	198.0	0.0	33.0	23.0	2133.0	2440.0	527.0	0.0	0.0	0.0	188.0	1681.0	1244.0	1461.0	263.0	127.0	52.0	378.0	248.0	1372.0	0.0	0.0	0.0	0.0	664.0	1325.0	0.0	0.0	0.0	52.0	101.0	268.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	727.0	625.0	0.0	53.0	4956.0	4565.0	0.0	8.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7313.0	343.0	0.0	909.0	0.0	0.0	64.0	501.0	0.0	0.0	0.0	0.0	439.0	1702.0	0.0	0.0	381.0	117.0		b9072242edca7525f17dfaf07abbb08e	d__Bacteria| p__Firmicutes| c__Clostridia| o__Oscillospirales| f__Ruminococcaceae| g__Faecalibacterium
